year_month,amazon_stock_price,amazon_stock_volume,apple_stock_price,apple_stock_volume,google_stock_price,google_stock_volume,meta_stock_price,meta_stock_volume,microsoft_stock_price,microsoft_stock_volume,bitcoin_price,bitcoin_volume,ethereum_price,ethereum_volume,gold_price,gold_volume,s&p500_price,s&p500_volume,gold_returns,bitcoin_returns,ethereum_returns,s&p500_returns,6_months_max,percent_change,crisis,gold_return,amazon_stock_return,covariance_conditionnelle,interaction_t_minus_1,interaction_dum_t_minus_1,h_t_minus_1,dum_crise,meta_stock_return,apple_stock_return,google_stock_return,microsoft_stock_return,bitcoin_return,ethereum_return
2005-08,44.44,114751100,45.175,335743100,286.535,285656800,177.585,623649587,26.85,1441979300,17705.37086743071,517572575203,1382.316098022461,354925375295,439.3000030517578,3085.0,1223.4649658203125,42030090000,0.03352546735134321,0.0,0.0,0.007506014678091422,1223.4649658203125,0.0,0,3.2975741685469204,12.29154458962137,0.0,0.0,0.0,0.0,0,0.0,11.332425808935442,-5.387341703490867,5.197960256684963,0.0,0.0
2005-09,43.17,104700400,50.325,440991800,302.975,339965100,177.585,623649587,26.255000000000003,1348861500,17705.37086743071,517572575203,1382.316098022461,354925375295,456.25,11805.0,1224.239990234375,44777510000,0.03858410387091471,0.0,0.0,0.0006334667814069661,1224.239990234375,0.0,0,3.785834696810233,-2.899415520404301,-0.0,0.0,0.0,0.0,0,0.0,10.795813504756305,5.578960111231089,-2.2409373865051085,0.0,0.0
2005-10,42.86,146980100,52.925,665837400,332.718,385538000,177.585,623649587,25.025,1439659900,17705.37086743071,517572575203,1382.316098022461,354925375295,469.5,2106.0,1200.7699584960938,49793790000,0.02904109589041104,0.0,0.0,-0.01917110364430097,1224.239990234375,-1.9171103644301004,0,2.8627393751616417,-0.7206819521955268,-0.0,-0.0,-0.0,-0.0,0,0.0,5.037384549507357,9.364499050168755,-4.79811218885385,0.0,0.0
2005-11,44.54,216455300,63.97,480586700,400.125,422908000,177.585,623649587,26.93,1444948300,17705.37086743071,517572575203,1382.316098022461,354925375295,478.7999877929688,157642.0,1235.85498046875,45102870000,0.019808280709198822,0.0,0.0,0.029218770609983125,1235.85498046875,0.0,0,1.9614649540447626,3.8448671783790593,0.0,-0.0,-0.0,-0.0,0,0.0,18.95384064411175,18.44817139337883,7.33655816222234,0.0,0.0
2005-12,48.57,121167800,72.13499999999999,466577300,422.61,397165000,177.585,623649587,27.1005,1271695500,17705.37086743071,517572575203,1382.316098022461,354925375295,514.3000030517578,12240.0,1261.1950073242188,41756130000,0.07414372632385913,0.0,0.0,0.02050404558458596,1261.1950073242188,0.0,0,7.152381052591399,8.661839452843187,0.0,0.0,0.0,0.0,0,0.0,12.012513993568927,5.467276965029807,0.6311271076446971,0.0,0.0
2006-01,45.84,123410300,78.635,781370400,434.925,597481100,177.585,623649587,27.240000000000002,1388622700,17705.37086743071,517572575203,1382.316098022461,354925375295,616.3,49592.7,1270.3200073242188,49211650000,0.19832781711645664,0.0,0.0,0.007235201493034582,1270.3200073242188,0.0,0,18.092709925351816,-5.784898395116929,0.0,0.0,0.0,0.0,0,0.0,8.627752954495332,2.872383449028886,0.513430338135728,0.0,0.0
2006-02,40.87,165544700,69.67999999999999,670024900,372.165,594453900,177.585,623649587,27.205,1047699000,17705.37086743071,517572575203,1382.316098022461,354925375295,555.3999938964844,10165.0,1275.5899658203125,42859940000,-0.09881552182949149,0.0,0.0,0.00414852829657808,1275.5899658203125,0.0,0,-10.404529408490347,-11.476077483029837,-0.0,0.0,0.0,0.0,0,0.0,-12.090356039844153,-15.583629810887889,-0.12857013434230477,0.0,0.0
2006-03,36.485,122178100,63.83,828308300,365.275,612913300,177.585,623649587,27.42,1437940900,17705.37086743071,517572575203,1382.316098022461,354925375295,564.75,94801.0,1289.6500244140625,50905040000,0.01683472489425042,0.0,0.0,0.011022396671729995,1289.6500244140625,0.0,0,1.6694591464818787,-11.34950803586025,0.0,-0.0,-0.0,-0.0,0,0.0,-8.769003327628134,-1.8686809763587022,0.7871894196279834,0.0,0.0
2006-04,36.925,106758600,66.55,718545800,419.325,370257300,177.585,623649587,25.9705,1446126900,17705.37086743071,517572575203,1382.316098022461,354925375295,616.8999938964844,8121.0,1299.4500122070312,43308430000,0.09234173332710816,0.0,0.0,0.007598951349162553,1299.4500122070312,0.0,0,8.83237709736309,1.1987611199860073,-0.0,0.0,0.0,0.0,0,0.0,4.173024557315468,13.799578102267052,-5.431139566063501,0.0,0.0
2006-05,34.01,146896000,66.245,557456400,390.005,351526700,177.585,623649587,23.725,2309193400,17705.37086743071,517572575203,1382.316098022461,354925375295,680.0,137161.0,1286.0199584960938,54312830000,0.10228563256251832,0.0,0.0,-0.010335183027261996,1299.4500122070312,-1.0335183027261994,0,9.738587184840872,-8.223422939833943,-0.0,-0.0,-0.0,-0.0,0,0.0,-0.4593554521034049,-7.248671602648813,-9.043193397754171,0.0,0.0
